city,direction,arm,metric,value
Tokyo,downlink,bbr (measured),throughput,173.14763936715667
Tokyo,downlink,bbr (measured),throughput,164.66689469211414
Tokyo,downlink,bbr (measured),throughput,166.29871117419984
Tokyo,downlink,bbr (measured),throughput,170.73732948822533
Tokyo,downlink,bbr (measured),throughput,171.93626061303985
Tokyo,downlink,bbr (measured),throughput,175.43495283779973
Tokyo,downlink,bbr (measured),throughput,168.43571463773915
Tokyo,downlink,bbr (measured),throughput,163.6661705882247
Tokyo,downlink,bbr (measured),throughput,168.41277368443036
Tokyo,downlink,bbr (measured),throughput,180.4078152227284
Tokyo,downlink,bbr (measured),retx,283.51702420411425
Tokyo,downlink,bbr (measured),retx,195.8544944094231
Tokyo,downlink,bbr (measured),retx,236.90550239489605
Tokyo,downlink,bbr (measured),retx,201.5900120621298
Tokyo,downlink,bbr (measured),retx,205.71300092001613
Tokyo,downlink,bbr (measured),retx,201.20481030541833
Tokyo,downlink,bbr (measured),retx,170.16975385176042
Tokyo,downlink,bbr (measured),retx,203.75710213404193
Tokyo,downlink,bbr (measured),retx,179.61034638547684
Tokyo,downlink,bbr (measured),retx,180.51902387207136
Tokyo,downlink,bbr (measured),rtt,160.791
Tokyo,downlink,bbr (measured),rtt,158.247
Tokyo,downlink,bbr (measured),rtt,160.272
Tokyo,downlink,bbr (measured),rtt,160.283
Tokyo,downlink,bbr (measured),rtt,159.87
Tokyo,downlink,bbr (measured),rtt,159.88
Tokyo,downlink,bbr (measured),rtt,160.142
Tokyo,downlink,bbr (measured),rtt,159.195
Tokyo,downlink,bbr (measured),rtt,159.095
Tokyo,downlink,bbr (measured),rtt,160.59
Tokyo,downlink,bbr (measured),rttvar,24.56390614932922
Tokyo,downlink,bbr (measured),rttvar,22.274724151584028
Tokyo,downlink,bbr (measured),rttvar,24.81452997235622
Tokyo,downlink,bbr (measured),rttvar,33.55324810514547
Tokyo,downlink,bbr (measured),rttvar,17.653067653145698
Tokyo,downlink,bbr (measured),rttvar,21.456059893359164
Tokyo,downlink,bbr (measured),rttvar,16.34049396979536
Tokyo,downlink,bbr (measured),rttvar,18.5026894266478
Tokyo,downlink,bbr (measured),rttvar,15.18906213107554
Tokyo,downlink,bbr (measured),rttvar,25.27989623487074
Tokyo,downlink,bbr2 (measured),throughput,139.4481272419226
