city,direction,arm,metric,value
Tokyo,uplink,bbr2 (measured),throughput,28.97263277799358
Tokyo,uplink,bbr2 (measured),throughput,23.427152300840937
Tokyo,uplink,bbr2 (measured),throughput,12.136007401261365
Tokyo,uplink,bbr2 (measured),throughput,27.632177385041096
Tokyo,uplink,bbr2 (measured),throughput,15.309902001461296
Tokyo,uplink,bbr2 (measured),throughput,27.089347818639318
Tokyo,uplink,bbr2 (measured),throughput,13.177418919989742
Tokyo,uplink,bbr2 (measured),throughput,27.796585812835946
Tokyo,uplink,bbr2 (measured),throughput,19.343612993106717
Tokyo,uplink,bbr2 (measured),throughput,17.308806067999743
Tokyo,uplink,bbr2 (measured),retx,32.61900355444668
Tokyo,uplink,bbr2 (measured),retx,19.3230620908926
Tokyo,uplink,bbr2 (measured),retx,10.060152174608744
Tokyo,uplink,bbr2 (measured),retx,26.56325855164435
Tokyo,uplink,bbr2 (measured),retx,20.132264334902743
Tokyo,uplink,bbr2 (measured),retx,32.114988192403615
Tokyo,uplink,bbr2 (measured),retx,13.240692278957292
Tokyo,uplink,bbr2 (measured),retx,30.514624997785887
Tokyo,uplink,bbr2 (measured),retx,17.286605960747554
Tokyo,uplink,bbr2 (measured),retx,25.518841931450982
Tokyo,uplink,bbr2 (measured),rtt,158.77249999999998
Tokyo,uplink,bbr2 (measured),rtt,157.9915
Tokyo,uplink,bbr2 (measured),rtt,161.409
Tokyo,uplink,bbr2 (measured),rtt,156.5445
Tokyo,uplink,bbr2 (measured),rtt,162.135
Tokyo,uplink,bbr2 (measured),rtt,160.361
Tokyo,uplink,bbr2 (measured),rtt,156.98649999999998
Tokyo,uplink,bbr2 (measured),rtt,158.88799999999998
Tokyo,uplink,bbr2 (measured),rtt,158.03300000000002
Tokyo,uplink,bbr2 (measured),rtt,160.099
Tokyo,uplink,bbr2 (measured),rttvar,19.628533627194365
Tokyo,uplink,bbr2 (measured),rttvar,8.970304099155292
Tokyo,uplink,bbr2 (measured),rttvar,18.412138912969585
Tokyo,uplink,bbr2 (measured),rttvar,15.850289668260535
Tokyo,uplink,bbr2 (measured),rttvar,21.110839413848254
Tokyo,uplink,bbr2 (measured),rttvar,29.73078126579253
Tokyo,uplink,bbr2 (measured),rttvar,17.109051848823572
Tokyo,uplink,bbr2 (measured),rttvar,16.17039948625746
Tokyo,uplink,bbr2 (measured),rttvar,12.014670281079525
Tokyo,uplink,bbr2 (measured),rttvar,27.06414808410566
Tokyo,uplink,bbr (measured),throughput,26.863844679662712
Tokyo,uplink,bbr (measured),throughput,15.00146490655437
Tokyo,uplink,bbr (measured),throughput,14.775231360393722
Tokyo,uplink,bbr (measured),throughput,26.6337261993197
Tokyo,uplink,bbr (measured),throughput,14.487503896840938
Tokyo,uplink,bbr (measured),throughput,25.7039126296135
Tokyo,uplink,bbr (measured),throughput,18.220540306400643
Tokyo,uplink,bbr (measured),throughput,26.287966743315856
Tokyo,uplink,bbr (measured),throughput,16.539333775021202
Tokyo,uplink,bbr (measured),throughput,28.141125159382856
Tokyo,uplink,bbr (measured),retx,47.83302884110049
Tokyo,uplink,bbr (measured),retx,23.169783817100953
Tokyo,uplink,bbr (measured),retx,20.079525328758347
Tokyo,uplink,bbr (measured),retx,42.373986764138465
Tokyo,uplink,bbr (measured),retx,23.433053334672447
Tokyo,uplink,bbr (measured),retx,47.191083397067565
Tokyo,uplink,bbr (measured),retx,25.94671274679564
Tokyo,uplink,bbr (measured),retx,39.94313143276071
Tokyo,uplink,bbr (measured),retx,18.23620078068561
Tokyo,uplink,bbr (measured),retx,47.62604165463851
Tokyo,uplink,bbr (measured),rtt,157.514
Tokyo,uplink,bbr (measured),rtt,156.7095
Tokyo,uplink,bbr (measured),rtt,154.3305
Tokyo,uplink,bbr (measured),rtt,158.064
Tokyo,uplink,bbr (measured),rtt,158.89749999999998
Tokyo,uplink,bbr (measured),rtt,158.752
Tokyo,uplink,bbr (measured),rtt,160.273
Tokyo,uplink,bbr (measured),rtt,159.7335
Tokyo,uplink,bbr (measured),rtt,157.4525
Tokyo,uplink,bbr (measured),rtt,161.163
Tokyo,uplink,bbr (measured),rttvar,37.154275100883375
Tokyo,uplink,bbr (measured),rttvar,28.18431416140782
Tokyo,uplink,bbr (measured),rttvar,17.155281938317295
Tokyo,uplink,bbr (measured),rttvar,33.54816265743923
Tokyo,uplink,bbr (measured),rttvar,22.0793575387296
Tokyo,uplink,bbr (measured),rttvar,43.24278721169063
Tokyo,uplink,bbr (measured),rttvar,20.116027343693442
Tokyo,uplink,bbr (measured),rttvar,19.250033248022948
Tokyo,uplink,bbr (measured),rttvar,27.862848211525122
Tokyo,uplink,bbr (measured),rttvar,19.55145176309564
Tokyo,uplink,cubic (measured),throughput,8.315110403536108
Tokyo,uplink,cubic (measured),throughput,9.30777346141973
Tokyo,uplink,cubic (measured),throughput,7.965660631941841
Tokyo,uplink,cubic (measured),throughput,8.094963053877915
Tokyo,uplink,cubic (measured),throughput,7.2911269099847535
Tokyo,uplink,cubic (measured),throughput,7.409887965137354
Tokyo,uplink,cubic (measured),throughput,8.073992230288784
Tokyo,uplink,cubic (measured),throughput,7.333012698618082
Tokyo,uplink,cubic (measured),throughput,6.9205675269414195
Tokyo,uplink,cubic (measured),throughput,8.004145368661712
Tokyo,uplink,cubic (measured),retx,0.813310965235411
Tokyo,uplink,cubic (measured),retx,0.6266819370952199
Tokyo,uplink,cubic (measured),retx,0.5999826749849663
Tokyo,uplink,cubic (measured),retx,0.6733273813424144
Tokyo,uplink,cubic (measured),retx,0.7999747747926159
Tokyo,uplink,cubic (measured),retx,0.7166313699531989
Tokyo,uplink,cubic (measured),retx,0.669989961173827
Tokyo,uplink,cubic (measured),retx,0.7333323667734751
Tokyo,uplink,cubic (measured),retx,0.7399666604846467
Tokyo,uplink,cubic (measured),retx,0.6999663168700399
Tokyo,uplink,cubic (measured),rtt,158.25
Tokyo,uplink,cubic (measured),rtt,155.4395
Tokyo,uplink,cubic (measured),rtt,157.757
Tokyo,uplink,cubic (measured),rtt,155.8655
Tokyo,uplink,cubic (measured),rtt,157.7865
Tokyo,uplink,cubic (measured),rtt,156.822
Tokyo,uplink,cubic (measured),rtt,156.485
Tokyo,uplink,cubic (measured),rtt,156.5645
Tokyo,uplink,cubic (measured),rtt,154.35
Tokyo,uplink,cubic (measured),rtt,156.322
Tokyo,uplink,cubic (measured),rttvar,5.033722828400025
Tokyo,uplink,cubic (measured),rttvar,6.297478248261142
Tokyo,uplink,cubic (measured),rttvar,9.882147062326869
Tokyo,uplink,cubic (measured),rttvar,4.2895236948471975
Tokyo,uplink,cubic (measured),rttvar,12.604728834273093
Tokyo,uplink,cubic (measured),rttvar,3.8608252588389553
Tokyo,uplink,cubic (measured),rttvar,7.641319989518972
Tokyo,uplink,cubic (measured),rttvar,4.268458496994747
Tokyo,uplink,cubic (measured),rttvar,6.305884840260106
Tokyo,uplink,cubic (measured),rttvar,3.0159378000862174
Tokyo,uplink,stock-sim,throughput,19.971653073589994
Tokyo,uplink,stock-sim,throughput,17.36109824247192
Tokyo,uplink,stock-sim,throughput,16.761834650444307
Tokyo,uplink,stock-sim,retx,33.01266699894829
Tokyo,uplink,stock-sim,retx,32.69942111108102
Tokyo,uplink,stock-sim,retx,32.79788389804216
Tokyo,uplink,stock-sim,rtt,149.88093
Tokyo,uplink,stock-sim,rtt,149.88093
Tokyo,uplink,stock-sim,rtt,149.88093
Tokyo,uplink,stock-sim,rttvar,5.23080320317524
Tokyo,uplink,stock-sim,rttvar,4.283936963500887
Tokyo,uplink,stock-sim,rttvar,4.384630185411209
Tokyo,uplink,A2C-sim,throughput,19.19832809519035
Tokyo,uplink,A2C-sim,throughput,19.044730941507297
Tokyo,uplink,A2C-sim,throughput,18.417049707599173
Tokyo,uplink,A2C-sim,throughput,19.587549350698453
Tokyo,uplink,A2C-sim,throughput,19.971653073589994
Tokyo,uplink,A2C-sim,throughput,17.16815448062774
Tokyo,uplink,A2C-sim,throughput,17.116465613951892
Tokyo,uplink,A2C-sim,throughput,17.097882117693555
Tokyo,uplink,A2C-sim,throughput,17.367705070890896
Tokyo,uplink,A2C-sim,throughput,17.36109824247192
